id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount
ACKK1NLt4os,Magic trick for Servicenow Developer ✨ #techwithpri #servicenow #shorts,"Hey Everyone!!
Lets learn this important magic trick that would save your lot of time 🤓
#techwithpri 
#servicenow",2025-09-05T11:30:07Z,techwithpri|sn utils servicenow|servicenow developer,27,en,en,https://i.ytimg.com/vi/ACKK1NLt4os/default.jpg,https://i.ytimg.com/vi/ACKK1NLt4os/hqdefault.jpg,PT1M32S,923,39,2,public,UCq9dV0PMEdQFzD4JTCNfK3A,TechWithPri,"Welcome to my technical channel techwithpri which is dedicated to Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, and ServiceNow Virtual Agent!.

My videos cover a wide range of topics, from the basics of server administration to more advanced topics like cloud computing and automation. You'll learn how to set up and manage Windows servers, create and deploy virtual machines on Azure, and optimize your ServiceNow system for maximum efficiency.

In addition, I also provide in-depth training on ServiceNow Virtual Agent, a powerful tool for creating conversational interfaces that can help your organization automate common tasks and improve customer service. 

So whether you're looking to improve your skills in Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, or ServiceNow Virtual Agent, be sure to subscribe to my channel and stay tuned for our latest videos!

More videos are coming soon...

#techwithpri 


",IN,https://yt3.ggpht.com/qAM9oAvxmgtDo8TG7yDJ1ir60ZZk7TvGnHmQVTorKVWHxqSwyuXebZ7-192r7NPHy49wuC-78A=s800-c-k-c0x00ffffff-no-rj,22500,222
mHoHaqwzlWU,Don't Give Up !!Youtube Comment #techwithpri #servicenow,"I thought of motivating her with this short!! Never give up!!
#techwithpri",2025-09-01T12:30:57Z,techwithpri|techwithpri servicenow|techwithpri shorts,27,en,en,https://i.ytimg.com/vi/mHoHaqwzlWU/default.jpg,https://i.ytimg.com/vi/mHoHaqwzlWU/hqdefault.jpg,PT1M28S,343,14,0,public,UCq9dV0PMEdQFzD4JTCNfK3A,TechWithPri,"Welcome to my technical channel techwithpri which is dedicated to Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, and ServiceNow Virtual Agent!.

My videos cover a wide range of topics, from the basics of server administration to more advanced topics like cloud computing and automation. You'll learn how to set up and manage Windows servers, create and deploy virtual machines on Azure, and optimize your ServiceNow system for maximum efficiency.

In addition, I also provide in-depth training on ServiceNow Virtual Agent, a powerful tool for creating conversational interfaces that can help your organization automate common tasks and improve customer service. 

So whether you're looking to improve your skills in Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, or ServiceNow Virtual Agent, be sure to subscribe to my channel and stay tuned for our latest videos!

More videos are coming soon...

#techwithpri 


",IN,https://yt3.ggpht.com/qAM9oAvxmgtDo8TG7yDJ1ir60ZZk7TvGnHmQVTorKVWHxqSwyuXebZ7-192r7NPHy49wuC-78A=s800-c-k-c0x00ffffff-no-rj,22500,222
_T7hTJdA_tk,Get ready for CSA Exam?? #shorts #techwithpri #servicenow #techwithpricsa,"Hey Tech People!!
Get ready for the CSA Exam with the new Yokohama release!!",2025-08-28T15:12:11Z,techwithpri|techwithpri csa|techwithpri shorts|servicenow|servicenow csa playlist|servicenow csa exam 2025|servicenow yokohama,27,en,en,https://i.ytimg.com/vi/_T7hTJdA_tk/default.jpg,https://i.ytimg.com/vi/_T7hTJdA_tk/hqdefault.jpg,PT1M13S,1116,26,2,public,UCq9dV0PMEdQFzD4JTCNfK3A,TechWithPri,"Welcome to my technical channel techwithpri which is dedicated to Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, and ServiceNow Virtual Agent!.

My videos cover a wide range of topics, from the basics of server administration to more advanced topics like cloud computing and automation. You'll learn how to set up and manage Windows servers, create and deploy virtual machines on Azure, and optimize your ServiceNow system for maximum efficiency.

In addition, I also provide in-depth training on ServiceNow Virtual Agent, a powerful tool for creating conversational interfaces that can help your organization automate common tasks and improve customer service. 

So whether you're looking to improve your skills in Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, or ServiceNow Virtual Agent, be sure to subscribe to my channel and stay tuned for our latest videos!

More videos are coming soon...

#techwithpri 


",IN,https://yt3.ggpht.com/qAM9oAvxmgtDo8TG7yDJ1ir60ZZk7TvGnHmQVTorKVWHxqSwyuXebZ7-192r7NPHy49wuC-78A=s800-c-k-c0x00ffffff-no-rj,22500,222
4jr9qP1Bd0g,ServiceNow CAD Exam Preparation - Full Guide,"Hey Everyone!!!

Here you go!!
This is the most important video for all of you, who are preparing for their CAD exam!!
In this video I discuss with you how you should prepare for your CAD exam as well as prepare for becoming ServiceNow Developer with the help of different playlists which are available in my channel !!

Also I compared the new Yokohama syllabus with the old syllabus as well so that you understand the differences.

Finally I have discussed about 90+ CAD exam preparation questions which is already posted in the same playlist!!

I hope this video will give you the clear pathway so that you can be ready as a ServiceNow Developer and clear your CAD exam.


Link of new syllabus for ServiceNow CAD exam - https://learning.servicenow.com/lxp/en/credentials/certified-application-developer-mainline-exam-blueprint?id=kb_article_view&sysparm_article=KB0011498

ServiceNow Developer Playlist - https://www.youtube.com/playlist?list=PLe4QSsKLT0SbaCL40-KRIkZIcedofQgv4

To get access over 90+ questions for CAD exam join my channel now - https://www.youtube.com/channel/UCq9dV0PMEdQFzD4JTCNfK3A/join


#techwithpri 
#servicenowonlinetraining 
#servicenowtutorial
#servicenowcadexam",2025-08-26T13:40:11Z,servicenow|servicenow developer|servicenow cad exam questions|techwithpri|techwithpri servicenow|servicenow developer career|servicenow cad exam 2025|servicenow developer roadmap|techwithpri cad|techwithpri javascript|servicenow cad exam dumps,27,en,en,https://i.ytimg.com/vi/4jr9qP1Bd0g/default.jpg,https://i.ytimg.com/vi/4jr9qP1Bd0g/hqdefault.jpg,PT22M45S,1061,36,14,public,UCq9dV0PMEdQFzD4JTCNfK3A,TechWithPri,"Welcome to my technical channel techwithpri which is dedicated to Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, and ServiceNow Virtual Agent!.

My videos cover a wide range of topics, from the basics of server administration to more advanced topics like cloud computing and automation. You'll learn how to set up and manage Windows servers, create and deploy virtual machines on Azure, and optimize your ServiceNow system for maximum efficiency.

In addition, I also provide in-depth training on ServiceNow Virtual Agent, a powerful tool for creating conversational interfaces that can help your organization automate common tasks and improve customer service. 

So whether you're looking to improve your skills in Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, or ServiceNow Virtual Agent, be sure to subscribe to my channel and stay tuned for our latest videos!

More videos are coming soon...

#techwithpri 


",IN,https://yt3.ggpht.com/qAM9oAvxmgtDo8TG7yDJ1ir60ZZk7TvGnHmQVTorKVWHxqSwyuXebZ7-192r7NPHy49wuC-78A=s800-c-k-c0x00ffffff-no-rj,22500,222
vGnV8UKyOyc,ServiceNow CSA Exam Preparation - Full Guide,"Hey Everyone!!!

Here you go!!
This is the most important video for all of you, who are preparing for their CSA exam!!
In this video I discuss with you how you should prepare for your CSA exam with the help of different playlists which are available in my channel !!

Also I compared the new Yokohama syllabus with the old syllabus as well so that you understand the differences.

Finally I have discussed about 130+ CSA exam preparation questions which is already posted in the same playlist!!

I hope this video will give you the clear pathway so that you can be ready as a ServiceNow System Administrator and clear your CSA exam.


Link of new syllabus for ServiceNow CSA exam - https://learning.servicenow.com/lxp/en/credentials/certified-system-administrator-mainline-exam-blueprint?id=kb_article_view&sysparm_article=KB0011554

ServiceNow System Administrator Playlist - https://www.youtube.com/playlist?list=PLe4QSsKLT0SZsLgx2f-tthW_lzBnFpsQ2

To get access over 130+ questions for CSA exam join my channel now - https://www.youtube.com/channel/UCq9dV0PMEdQFzD4JTCNfK3A/join


#techwithpri 
#servicenowonlinetraining 
#servicenowtutorial",2025-08-18T12:49:37Z,servicenow|csa|servicenow certified system administrator|servicenow certification|certified system administrator|servicenow csa exam|certified system administrator exam|techwithpri|servicenow training|servicenow administrator training|csa dump|csa 2025|csa tech with pri|servicenow yokohama|servicenow csa exam 2025|servicenow csa exam preparation 2025,27,en,en,https://i.ytimg.com/vi/vGnV8UKyOyc/default.jpg,https://i.ytimg.com/vi/vGnV8UKyOyc/hqdefault.jpg,PT29M27S,3371,88,48,public,UCq9dV0PMEdQFzD4JTCNfK3A,TechWithPri,"Welcome to my technical channel techwithpri which is dedicated to Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, and ServiceNow Virtual Agent!.

My videos cover a wide range of topics, from the basics of server administration to more advanced topics like cloud computing and automation. You'll learn how to set up and manage Windows servers, create and deploy virtual machines on Azure, and optimize your ServiceNow system for maximum efficiency.

In addition, I also provide in-depth training on ServiceNow Virtual Agent, a powerful tool for creating conversational interfaces that can help your organization automate common tasks and improve customer service. 

So whether you're looking to improve your skills in Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, or ServiceNow Virtual Agent, be sure to subscribe to my channel and stay tuned for our latest videos!

More videos are coming soon...

#techwithpri 


",IN,https://yt3.ggpht.com/qAM9oAvxmgtDo8TG7yDJ1ir60ZZk7TvGnHmQVTorKVWHxqSwyuXebZ7-192r7NPHy49wuC-78A=s800-c-k-c0x00ffffff-no-rj,22500,222
Ru4jb1t8hOc,SN Utils  - The Weapon for ServiceNow Developer ⚔️⚔️,"Hey Everyone!!
Welcome to another video of this exciting series called ServiceNow Developer 🥳
And in this video we are discussing about a very popular plugin called - SN Utils which helps you to save lot of time and help in many other ways.

SN Utils website - https://www.arnoudkooi.com/






#techwithpri",2025-06-25T12:30:36Z,techwithpri|techwithpri servicenow playlist|techwithpri servicenow developer|servicenow developer|sn utils servicenow|sn utils - tools for servicenow|sn util|sn utils slash commands|how to use sn utils|the weapon of servicenow developer|techwithpri servicenow,27,en,en,https://i.ytimg.com/vi/Ru4jb1t8hOc/default.jpg,https://i.ytimg.com/vi/Ru4jb1t8hOc/hqdefault.jpg,PT28M57S,1655,61,47,public,UCq9dV0PMEdQFzD4JTCNfK3A,TechWithPri,"Welcome to my technical channel techwithpri which is dedicated to Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, and ServiceNow Virtual Agent!.

My videos cover a wide range of topics, from the basics of server administration to more advanced topics like cloud computing and automation. You'll learn how to set up and manage Windows servers, create and deploy virtual machines on Azure, and optimize your ServiceNow system for maximum efficiency.

In addition, I also provide in-depth training on ServiceNow Virtual Agent, a powerful tool for creating conversational interfaces that can help your organization automate common tasks and improve customer service. 

So whether you're looking to improve your skills in Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, or ServiceNow Virtual Agent, be sure to subscribe to my channel and stay tuned for our latest videos!

More videos are coming soon...

#techwithpri 


",IN,https://yt3.ggpht.com/qAM9oAvxmgtDo8TG7yDJ1ir60ZZk7TvGnHmQVTorKVWHxqSwyuXebZ7-192r7NPHy49wuC-78A=s800-c-k-c0x00ffffff-no-rj,22500,222
ZdP_qxq3aNA,TechWithPri Live Stream,,2025-02-27T19:15:46Z,,27,en,en,https://i.ytimg.com/vi/ZdP_qxq3aNA/default_live.jpg,https://i.ytimg.com/vi/ZdP_qxq3aNA/hqdefault_live.jpg,P0D,0,0,0,public,UCq9dV0PMEdQFzD4JTCNfK3A,TechWithPri,"Welcome to my technical channel techwithpri which is dedicated to Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, and ServiceNow Virtual Agent!.

My videos cover a wide range of topics, from the basics of server administration to more advanced topics like cloud computing and automation. You'll learn how to set up and manage Windows servers, create and deploy virtual machines on Azure, and optimize your ServiceNow system for maximum efficiency.

In addition, I also provide in-depth training on ServiceNow Virtual Agent, a powerful tool for creating conversational interfaces that can help your organization automate common tasks and improve customer service. 

So whether you're looking to improve your skills in Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, or ServiceNow Virtual Agent, be sure to subscribe to my channel and stay tuned for our latest videos!

More videos are coming soon...

#techwithpri 


",IN,https://yt3.ggpht.com/qAM9oAvxmgtDo8TG7yDJ1ir60ZZk7TvGnHmQVTorKVWHxqSwyuXebZ7-192r7NPHy49wuC-78A=s800-c-k-c0x00ffffff-no-rj,22500,222
8S0JmTQHZMM,ServiceNow Meetup .. 🥳🥳 #servicenow #techwithpri,"Hey Everyone !!
It was a great experience to be part of ServiceNow Meetup held at Kolkata 🤩",2025-02-12T13:00:11Z,techwithpri|techwithpri servicenow|servicenowmeetup|shorts,27,en,en,https://i.ytimg.com/vi/8S0JmTQHZMM/default.jpg,https://i.ytimg.com/vi/8S0JmTQHZMM/hqdefault.jpg,PT30S,3499,136,7,public,UCq9dV0PMEdQFzD4JTCNfK3A,TechWithPri,"Welcome to my technical channel techwithpri which is dedicated to Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, and ServiceNow Virtual Agent!.

My videos cover a wide range of topics, from the basics of server administration to more advanced topics like cloud computing and automation. You'll learn how to set up and manage Windows servers, create and deploy virtual machines on Azure, and optimize your ServiceNow system for maximum efficiency.

In addition, I also provide in-depth training on ServiceNow Virtual Agent, a powerful tool for creating conversational interfaces that can help your organization automate common tasks and improve customer service. 

So whether you're looking to improve your skills in Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, or ServiceNow Virtual Agent, be sure to subscribe to my channel and stay tuned for our latest videos!

More videos are coming soon...

#techwithpri 


",IN,https://yt3.ggpht.com/qAM9oAvxmgtDo8TG7yDJ1ir60ZZk7TvGnHmQVTorKVWHxqSwyuXebZ7-192r7NPHy49wuC-78A=s800-c-k-c0x00ffffff-no-rj,22500,222
llUl5LxmUuk,ServiceNow ATF - Create and Schedule Test Suites,"Hello Tech People !!!
Welcome to ServiceNow Integrations!!

⏱️TIMESTAMPS⏱️
0:00 Intro
1:32 What we are going to learn from today's video?
3:15 What is Test Suites?
4:26 Benefits of Test Suites
5:54 Create Test Suites
15:50 Run Test Suite
19:10 Schedule Test Suites


Welcome to world of ServiceNow Testing with ATF.
This is one of the powerful tool there in ServiceNow that would help you to build test cases inside of ServiceNow.
Lets explore it together 🤓

#servicenow 
#servicenowdeveloper 
#techwithpri",2025-02-05T15:16:29Z,automated test framework|servicenow automated test framework training|servicenow test automation framework|what is atf|servicenow atf|servicenow atf demo|techwithpri|techwithpri servicenow|servicenow developer|servicenow cad exam|atf test suites|servicenow tester,27,en,en,https://i.ytimg.com/vi/llUl5LxmUuk/default.jpg,https://i.ytimg.com/vi/llUl5LxmUuk/hqdefault.jpg,PT24M33S,2578,50,9,public,UCq9dV0PMEdQFzD4JTCNfK3A,TechWithPri,"Welcome to my technical channel techwithpri which is dedicated to Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, and ServiceNow Virtual Agent!.

My videos cover a wide range of topics, from the basics of server administration to more advanced topics like cloud computing and automation. You'll learn how to set up and manage Windows servers, create and deploy virtual machines on Azure, and optimize your ServiceNow system for maximum efficiency.

In addition, I also provide in-depth training on ServiceNow Virtual Agent, a powerful tool for creating conversational interfaces that can help your organization automate common tasks and improve customer service. 

So whether you're looking to improve your skills in Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, or ServiceNow Virtual Agent, be sure to subscribe to my channel and stay tuned for our latest videos!

More videos are coming soon...

#techwithpri 


",IN,https://yt3.ggpht.com/qAM9oAvxmgtDo8TG7yDJ1ir60ZZk7TvGnHmQVTorKVWHxqSwyuXebZ7-192r7NPHy49wuC-78A=s800-c-k-c0x00ffffff-no-rj,22500,222
eB2Db2USxJ0,ServiceNow ATF - Building 2 Live Test Cases,"Hello Tech People !!!
Welcome to ServiceNow Developer Series!!

⏱️TIMESTAMPS⏱️
0:00 Intro
1:17 What we are going to learn from today's video?
1:40 Why building these test cases?
8:48 Building 1st test case
28:22 Building 2nd test case 

Welcome to world of ServiceNow Testing with ATF.
This is one of the powerful tool there in ServiceNow that would help you to build test cases inside of ServiceNow.
In today's video I am going to show you how you can build two test cases in ATF from scratch!
Also we will discuss how we can debug test and fix the error!
Let's explore it together 🤓

#servicenow 
#servicenowdeveloper 
#techwithpri",2025-01-24T11:30:23Z,servicenow atf|servicenow automated test framework training|servicenow test automation framework|servicenow atf demo|techwithpri|techwithpri servicenow|servicenow developer|servicenow cad exam|build test cases for atf,27,en,en,https://i.ytimg.com/vi/eB2Db2USxJ0/default.jpg,https://i.ytimg.com/vi/eB2Db2USxJ0/hqdefault.jpg,PT40M4S,3368,43,25,public,UCq9dV0PMEdQFzD4JTCNfK3A,TechWithPri,"Welcome to my technical channel techwithpri which is dedicated to Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, and ServiceNow Virtual Agent!.

My videos cover a wide range of topics, from the basics of server administration to more advanced topics like cloud computing and automation. You'll learn how to set up and manage Windows servers, create and deploy virtual machines on Azure, and optimize your ServiceNow system for maximum efficiency.

In addition, I also provide in-depth training on ServiceNow Virtual Agent, a powerful tool for creating conversational interfaces that can help your organization automate common tasks and improve customer service. 

So whether you're looking to improve your skills in Microsoft Windows Server, Microsoft Azure, ServiceNow System Administrator, or ServiceNow Virtual Agent, be sure to subscribe to my channel and stay tuned for our latest videos!

More videos are coming soon...

#techwithpri 


",IN,https://yt3.ggpht.com/qAM9oAvxmgtDo8TG7yDJ1ir60ZZk7TvGnHmQVTorKVWHxqSwyuXebZ7-192r7NPHy49wuC-78A=s800-c-k-c0x00ffffff-no-rj,22500,222
